audio_id,target_id,canonical_hash,primary_focus,protocol_id,goal_title,protocol_entry_title
00ae450b11f1,DENSE_SOLID,74e36240de85c7e09b65233d82f4ff9406c3fcf72a1d483a29270582d90eaab5,EFFORT,EFFORT,같은 음을 더 세게 밀지 않고 편안한 힘으로 유지하기,쉬운 음역에서 작은~중간 강도
00ae450b11f1,BRIGHT_CLEAR,74e36240de85c7e09b65233d82f4ff9406c3fcf72a1d483a29270582d90eaab5,EFFORT,EFFORT,같은 음을 더 세게 밀지 않고 편안한 힘으로 유지하기,쉬운 음역에서 작은~중간 강도
00ae450b11f1,SOFT_SWEET,74e36240de85c7e09b65233d82f4ff9406c3fcf72a1d483a29270582d90eaab5,EFFORT,EFFORT,같은 음을 더 세게 밀지 않고 편안한 힘으로 유지하기,쉬운 음역에서 작은~중간 강도
00ae450b11f1,LIGHT_CLEAR,74e36240de85c7e09b65233d82f4ff9406c3fcf72a1d483a29270582d90eaab5,EFFORT,EFFORT,같은 음을 더 세게 밀지 않고 편안한 힘으로 유지하기,쉬운 음역에서 작은~중간 강도
00ae450b11f1,WARM_FULL,74e36240de85c7e09b65233d82f4ff9406c3fcf72a1d483a29270582d90eaab5,EFFORT,EFFORT,같은 음을 더 세게 밀지 않고 편안한 힘으로 유지하기,쉬운 음역에서 작은~중간 강도
00ae450b11f1,AIRY_DELICATE,74e36240de85c7e09b65233d82f4ff9406c3fcf72a1d483a29270582d90eaab5,EFFORT,EFFORT,같은 음을 더 세게 밀지 않고 편안한 힘으로 유지하기,쉬운 음역에서 작은~중간 강도
00ae450b11f1,INTENSE_DISTINCT,74e36240de85c7e09b65233d82f4ff9406c3fcf72a1d483a29270582d90eaab5,EFFORT,EFFORT,같은 음을 더 세게 밀지 않고 편안한 힘으로 유지하기,쉬운 음역에서 작은~중간 강도
00ae450b11f1,RECOMMEND_FOR_ME,74e36240de85c7e09b65233d82f4ff9406c3fcf72a1d483a29270582d90eaab5,EFFORT,EFFORT,같은 음을 더 세게 밀지 않고 편안한 힘으로 유지하기,쉬운 음역에서 작은~중간 강도
07564b6df5b9,DENSE_SOLID,c910b4a1929630c7bdab59e70ad1735e0e4221862a37a421adbc75d3995e69d1,REGISTER_CONNECTION,REGISTER_CONNECTION,음역이 올라갈 때 끊기지 않는 연결 만들기,작은 강도로 연결 감각 만들기
07564b6df5b9,BRIGHT_CLEAR,c910b4a1929630c7bdab59e70ad1735e0e4221862a37a421adbc75d3995e69d1,REGISTER_CONNECTION,REGISTER_CONNECTION,음역이 올라갈 때 끊기지 않는 연결 만들기,작은 강도로 연결 감각 만들기
07564b6df5b9,SOFT_SWEET,c910b4a1929630c7bdab59e70ad1735e0e4221862a37a421adbc75d3995e69d1,REGISTER_CONNECTION,REGISTER_CONNECTION,음역이 올라갈 때 끊기지 않는 연결 만들기,작은 강도로 연결 감각 만들기
07564b6df5b9,LIGHT_CLEAR,c910b4a1929630c7bdab59e70ad1735e0e4221862a37a421adbc75d3995e69d1,REGISTER_CONNECTION,REGISTER_CONNECTION,음역이 올라갈 때 끊기지 않는 연결 만들기,작은 강도로 연결 감각 만들기
07564b6df5b9,WARM_FULL,c910b4a1929630c7bdab59e70ad1735e0e4221862a37a421adbc75d3995e69d1,REGISTER_CONNECTION,REGISTER_CONNECTION,음역이 올라갈 때 끊기지 않는 연결 만들기,작은 강도로 연결 감각 만들기
07564b6df5b9,AIRY_DELICATE,c910b4a1929630c7bdab59e70ad1735e0e4221862a37a421adbc75d3995e69d1,REGISTER_CONNECTION,REGISTER_CONNECTION,음역이 올라갈 때 끊기지 않는 연결 만들기,작은 강도로 연결 감각 만들기
07564b6df5b9,INTENSE_DISTINCT,c910b4a1929630c7bdab59e70ad1735e0e4221862a37a421adbc75d3995e69d1,REGISTER_CONNECTION,REGISTER_CONNECTION,음역이 올라갈 때 끊기지 않는 연결 만들기,작은 강도로 연결 감각 만들기
07564b6df5b9,RECOMMEND_FOR_ME,c910b4a1929630c7bdab59e70ad1735e0e4221862a37a421adbc75d3995e69d1,REGISTER_CONNECTION,REGISTER_CONNECTION,음역이 올라갈 때 끊기지 않는 연결 만들기,작은 강도로 연결 감각 만들기
0ada85fffc84,DENSE_SOLID,a474591915b413ef919e02ae5bf66f4cd5d087d410ba20be7e1a7510649e21ba,STYLE,TIMBRE_STYLE,음량을 키우지 않고 더 단단하고 밀도 있는 소리 만들기,음량을 키우지 않고 밀도 유지하기
0ada85fffc84,BRIGHT_CLEAR,a474591915b413ef919e02ae5bf66f4cd5d087d410ba20be7e1a7510649e21ba,STYLE,TIMBRE_STYLE,음량을 키우지 않고 더 밝고 선명한 소리 만들기,발음으로 선명함 만들기
0ada85fffc84,SOFT_SWEET,a474591915b413ef919e02ae5bf66f4cd5d087d410ba20be7e1a7510649e21ba,STYLE,TIMBRE_STYLE,힘을 더 쓰지 않고 더 부드럽고 자연스럽게 구절 이어가기,짧은 구절을 부드럽게 이어보기
0ada85fffc84,LIGHT_CLEAR,a474591915b413ef919e02ae5bf66f4cd5d087d410ba20be7e1a7510649e21ba,STYLE,TIMBRE_STYLE,음량을 키우지 않고 더 가볍고 맑은 소리 만들기,가볍게 또렷하게 이어보기
0ada85fffc84,WARM_FULL,a474591915b413ef919e02ae5bf66f4cd5d087d410ba20be7e1a7510649e21ba,STYLE,TIMBRE_STYLE,음량을 키우지 않고 더 따뜻하고 풍성한 소리 만들기,음량 없이 중음 밀도 유지하기
0ada85fffc84,AIRY_DELICATE,a474591915b413ef919e02ae5bf66f4cd5d087d410ba20be7e1a7510649e21ba,STYLE,TIMBRE_STYLE,힘을 더 쓰지 않고 더 섬세하게 이어가기,작은 강도로 섬세하게 이어보기
0ada85fffc84,INTENSE_DISTINCT,a474591915b413ef919e02ae5bf66f4cd5d087d410ba20be7e1a7510649e21ba,STYLE,TIMBRE_STYLE,음량을 키우지 않고 표현으로 선명도 높이기,음량 없이 표현으로 선명도 높이기
0ada85fffc84,RECOMMEND_FOR_ME,a474591915b413ef919e02ae5bf66f4cd5d087d410ba20be7e1a7510649e21ba,STYLE,TIMBRE_STYLE,음량을 키우지 않고 더 가볍고 맑은 소리 만들기,가볍게 또렷하게 이어보기
0ea5487c229a,DENSE_SOLID,9643489feab1b4bf169a8b36f6797eb4905082e2898629bded82a42a7dae2efc,STYLE,TIMBRE_STYLE,음량을 키우지 않고 더 단단하고 밀도 있는 소리 만들기,음량을 키우지 않고 밀도 유지하기
0ea5487c229a,BRIGHT_CLEAR,9643489feab1b4bf169a8b36f6797eb4905082e2898629bded82a42a7dae2efc,BRIGHTNESS,TIMBRE_STYLE,"현재의 편안한 힘 사용은 유지하면서, 음량을 더 키우지 않고 더 밝고 선명한 음색 만들기",발음으로 선명함 만들기
0ea5487c229a,SOFT_SWEET,9643489feab1b4bf169a8b36f6797eb4905082e2898629bded82a42a7dae2efc,STYLE,TIMBRE_STYLE,힘을 더 쓰지 않고 더 부드럽고 자연스럽게 구절 이어가기,짧은 구절을 부드럽게 이어보기
